prompt_id,prompt_tokens,gen_tokens,ppl,mean_nll,seconds
cal_00,128,16,1.1805674055337834,0.16599517505250105,0.6625410839915276
cal_01,98,16,1.1388846988132248,0.130049449150603,0.6585371810942888
