mode,relative,gamma,n_trials,rel_ppl_rise,rel_ppl_ci95_low,rel_ppl_ci95_high,top1_change,top1_ci95_low,top1_ci95_high,harmful,harmful_k,harmful_n,mean_tv,mean_y_rel_l2,p95_rel_ppl,p99_rel_ppl
single,False,0.001,2,0.004485978843092604,0.001920287232041322,0.007051670454143886,0.0,0.0,0.0,1.0,2,2,1.682013574352107e-07,1.8153344228486435e-06,0.007051670454143886,0.007051670454143886
single,False,0.1,2,0.0011389973505802687,-0.0022898796778045116,0.004567874378965049,0.0,0.0,0.0,0.5,1,2,9.609603421244228e-06,0.00010846119237195169,0.004567874378965049,0.004567874378965049
sparse,False,0.001,2,0.05965698031264014,-0.0006773721610430641,0.11999133278632335,0.5,0.0,1.0,0.5,1,2,3.470371737201994e-07,3.9288183566446485e-06,0.11999133278632335,0.11999133278632335
sparse,False,0.1,2,0.01044709877049029,0.00688770526172896,0.01400649227925162,0.0,0.0,0.0,1.0,2,2,6.384059379799419e-05,0.0007076034597776352,0.01400649227925162,0.01400649227925162
top2_gap,False,0.001,2,0.09559201594228636,0.01856901504533559,0.17261501683923713,0.5,0.0,1.0,1.0,2,2,7.175681879800777e-06,7.19787010591743e-05,0.17261501683923713,0.17261501683923713
top2_gap,False,0.1,2,0.0852061724743948,-0.0022015535981562725,0.17261389854694587,0.5,0.0,1.0,0.5,1,2,0.0006514707353204585,0.006245516299470058,0.17261389854694587,0.17261389854694587
