mode,relative,gamma,n_trials,rel_ppl_rise,rel_ppl_ci95_low,rel_ppl_ci95_high,top1_change,top1_ci95_low,top1_ci95_high,harmful,harmful_k,harmful_n,mean_tv,mean_y_rel_l2,p95_rel_ppl,p99_rel_ppl
single,False,1e-06,504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,504,2.3996264292743447e-10,1.182128150377288e-07,0.0,0.0
single,False,1e-05,504,-1.5114971779035422e-05,-4.625499092867834e-05,3.633034472522257e-06,0.0,0.0,0.0,0.0,0,504,1.5943829178813098e-09,1.2727934712871926e-07,0.0,0.0
single,False,0.0001,504,3.6349378965647966e-05,-8.838607454519841e-05,0.00016352075731596196,0.001488095238095238,0.0,0.003720238095238095,0.02976190476190476,15,504,1.566147497560595e-08,3.0724058010761853e-07,0.0,0.004554062165734588
single,False,0.001,504,0.0006601771424782826,0.0002956696733056607,0.001039020824087977,0.02628968253968254,0.015869915674603174,0.039065600198412695,0.13095238095238096,66,504,1.7920101148361815e-07,2.8300298489422673e-06,0.007490025285311481,0.019953653844586902
single,False,0.01,504,0.0011176536788168694,0.0005023815052058903,0.0017979502044283163,0.038318452380952384,0.024302455357142858,0.05394655257936508,0.26587301587301587,134,504,1.6960760182600236e-06,2.595654930395699e-05,0.008658944709234133,0.038731096174147356
single,False,0.1,504,0.0012738094178048336,0.0005747358717516759,0.002062606417294061,0.05071924603174603,0.03583519345238095,0.06623573908730157,0.3353174603174603,169,504,1.520451106388288e-05,0.0001810743662508069,0.010703711110373776,0.02590512146670662
single,True,1e-06,504,-7.32028275726605e-07,-1.1757182721410078e-05,9.56109789423026e-06,0.0,0.0,0.0,0.001984126984126984,1,504,1.6019652154632159e-09,1.2703834628478578e-07,0.0,0.0
single,True,1e-05,504,0.00014855297858768082,3.380649889294339e-05,0.0002889273543527369,0.002728174603174603,0.0,0.007192460317460317,0.03373015873015873,17,504,1.3219825901186846e-08,2.3237560625097604e-07,0.0,0.007345697602363594
single,True,0.0001,504,0.00032742170768672036,-5.334940839456957e-05,0.00074805234352688,0.011904761904761904,0.00433717757936508,0.020839533730158722,0.08134920634920635,41,504,1.688815161665977e-07,1.959952075710798e-06,0.003717241424082895,0.015338760522838904
single,True,0.001,504,0.0008657233409389202,0.0002555697204769856,0.001548301685882744,0.03273809523809524,0.020461309523809524,0.047011408730158716,0.21626984126984128,109,504,1.7427638331121428e-06,2.4125027398404113e-05,0.008995380926433243,0.039940856511529545
single,True,0.01,504,0.001900728041651111,0.0009366951556276752,0.0030194774390454307,0.06063988095238095,0.04339967757936508,0.07924727182539681,0.32341269841269843,163,504,1.4007339130794178e-05,0.00020554299101327843,0.010660681819871043,0.06572887283451906
single,True,0.1,504,0.002024609521605168,0.0011670603900779414,0.0029873271083131815,0.0689484126984127,0.05232824900793651,0.0890469990079365,0.373015873015873,188,504,0.00017819031819498292,0.0022864984576525427,0.016538945380063647,0.0351363353762025
sparse,False,1e-06,504,1.645953800415685e-05,-1.3053075414448964e-05,6.243168942691951e-05,0.0,0.0,0.0,0.001984126984126984,1,504,4.3478673846093437e-10,1.1873861372418478e-07,0.0,0.0
sparse,False,1e-05,504,0.00018813844195746015,2.9217411553825722e-05,0.0004490468403306702,0.0018601190476190475,0.0,0.005580357142857143,0.013888888888888888,7,504,5.079545428759682e-09,1.5221833423900868e-07,0.0,0.004396082214442007
sparse,False,0.0001,504,0.00040528610889480624,0.0001366308969489459,0.0007563229249802332,0.006944444444444444,0.001736111111111111,0.013640873015873016,0.07142857142857142,36,504,5.612181838616332e-08,6.832977733599037e-07,0.0033554864648152128,0.009964161918310293
