prompt_id,ctx,layer,seed,prompt_tokens,gen_tokens,ppl,nll_true_next,seconds
seq_0199,64,4,43,64,16,3.1783979072601714,4.825356960296631,0.6594776771962643
seq_0199,256,4,43,256,16,1.0002615635246441,6.48477507638745e-05,0.6258133910596371
seq_0200,64,18,43,64,16,5.310988824109702,8.213411331176758,0.6122155878692865
seq_0200,256,18,43,256,16,2.3815704515866605,0.02381284534931183,0.6647721696645021
seq_0201,64,31,43,64,16,1.461670916637016,0.999549388885498,0.664528438821435
seq_0201,256,31,43,256,16,1.0322896327897855,2.145764938177308e-06,0.6399630736559629
seq_0202,64,4,43,64,16,2.2930436558871095,7.647510528564453,0.6654602084308863
seq_0202,256,4,43,256,16,1.0742592676446236,4.625213477993384e-05,0.6269330494105816
seq_0203,64,18,43,64,16,2.8313863245619726,0.014395901933312416,0.668354969471693
seq_0203,256,18,43,256,16,2.8058619465033594,2.9212965965270996,0.620489988476038
seq_0204,64,31,43,64,16,5.897143455722928,1.8741750717163086,0.6536920331418514
seq_0204,256,31,43,256,16,1.0000736473626595,3.099436753473128e-06,0.648174000903964
seq_0205,64,4,43,64,16,2.2168521075185907,0.7160924673080444,0.6641970165073872
seq_0205,256,4,43,256,16,1.0701960266029236,1.9550132492440753e-05,0.6400586012750864
seq_0206,64,18,43,64,16,1.6969537771243564,4.782725811004639,0.6598603222519159
seq_0206,256,18,43,256,16,1.9007786238720075,2.633009910583496,0.6270329151302576
seq_0207,64,31,43,64,16,2.1529794331574004,1.2538201808929443,0.6642057467252016
seq_0207,256,31,43,256,16,1.0003175151606338,0.002141208155080676,0.6352465134114027
seq_0208,64,4,43,64,16,2.624315450025355,0.08034002780914307,0.6462741512805223
seq_0208,256,4,43,256,16,1.0000196986752252,0.00014935807848814875,0.6258179172873497
seq_0209,64,18,43,64,16,2.5973635534463435,4.085516929626465,0.6737164054065943
seq_0209,256,18,43,256,16,1.469243945965025,5.582616806030273,0.6260086502879858
seq_0210,64,31,43,64,16,3.3536240369664703,10.156058311462402,0.6646614279597998
seq_0210,256,31,43,256,16,1.001427174559519,2.5152843591058627e-05,0.6868074480444193
seq_0211,64,4,43,64,16,1.3253197556478957,0.6845148205757141,0.62781504355371
seq_0211,256,4,43,256,16,1.6858779477960724,7.1058125495910645,0.6560885515064001
seq_0212,64,18,43,64,16,1.3288721765830172,0.04261135309934616,0.6322448123246431
seq_0212,256,18,43,256,16,1.752172966593499,5.531158240046352e-05,0.6643453668802977
seq_0213,64,31,43,64,16,1.755544275673221,7.249845027923584,0.6546136029064655
