kv_head,layer,n_trials,fail_s_L1,fail_s_L1_k,fail_s_L1_n,fail_s_L1_ci95_low,fail_s_L1_ci95_high,fail_s_L2,fail_s_L2_k,fail_s_L2_n,fail_s_L2_ci95_low,fail_s_L2_ci95_high,fail_s_L16,fail_s_L16_k,fail_s_L16_n,fail_s_L16_ci95_low,fail_s_L16_ci95_high,fail_s_Lfull,fail_s_Lfull_k,fail_s_Lfull_n,fail_s_Lfull_ci95_low,fail_s_Lfull_ci95_high,future_amplified,future_amplified_k,future_amplified_n,future_amplified_ci95_low,future_amplified_ci95_high,max_es_future_p50,max_es_future_p90,gain_p50,n_es_nonfinite
0,31,54,0.5555555555555556,30,54,0.42375413911364457,0.6799774312440219,0.5555555555555556,30,54,0.42375413911364457,0.6799774312440219,0.5555555555555556,30,54,0.42375413911364457,0.6799774312440219,0.5555555555555556,30,54,0.42375413911364457,0.6799774312440219,0.35185185185185186,19,54,0.23822831722420015,0.48515416182202264,0.00040459632873535156,0.556786060333252,0.0683593749825,33
1,18,36,0.5,18,36,0.34474067624730526,0.6552593237526947,0.5,18,36,0.34474067624730526,0.6552593237526947,0.5277777777777778,19,36,0.3700567162693947,0.6801420709279067,0.5277777777777778,19,36,0.3700567162693947,0.6801420709279067,0.5,18,36,0.34474067624730526,0.6552593237526947,2.288818359375e-05,0.6181142330169678,0.0639648436845,16
1,31,36,0.5277777777777778,19,36,0.3700567162693947,0.6801420709279067,0.5277777777777778,19,36,0.3700567162693947,0.6801420709279067,0.5555555555555556,20,36,0.3958078731600341,0.7045897012345685,0.5555555555555556,20,36,0.3958078731600341,0.7045897012345685,0.5555555555555556,20,36,0.3958078731600341,0.7045897012345685,0.0003910064697265625,1.5813226699829102,0.06746927867119083,0
4,4,54,0.5,27,54,0.37114361988923295,0.628856380110767,0.5,27,54,0.37114361988923295,0.628856380110767,0.5185185185185185,28,54,0.3885147504846543,0.6460624396345678,0.5185185185185185,28,54,0.3885147504846543,0.6460624396345678,0.5185185185185185,28,54,0.3885147504846543,0.6460624396345678,1.2874603271484375e-05,0.6496198177337646,0.10357666012973436,24
5,4,54,0.5555555555555556,30,54,0.42375413911364457,0.6799774312440219,0.5555555555555556,30,54,0.42375413911364457,0.6799774312440219,0.5555555555555556,30,54,0.42375413911364457,0.6799774312440219,0.5555555555555556,30,54,0.42375413911364457,0.6799774312440219,0.48148148148148145,26,54,0.3539375603654322,0.6114852495153457,0.0003857612609863281,0.40523529052734375,0.010099109850429618,17
7,18,54,0.5555555555555556,30,54,0.42375413911364457,0.6799774312440219,0.5555555555555556,30,54,0.42375413911364457,0.6799774312440219,0.5555555555555556,30,54,0.42375413911364457,0.6799774312440219,0.5555555555555556,30,54,0.42375413911364457,0.6799774312440219,0.5185185185185185,28,54,0.3885147504846543,0.6460624396345678,0.00029659271240234375,0.6098599433898926,0.082519531228875,33
