layer,n_trials,fail_s_L1,fail_s_L1_k,fail_s_L1_n,fail_s_L1_ci95_low,fail_s_L1_ci95_high,fail_s_L2,fail_s_L2_k,fail_s_L2_n,fail_s_L2_ci95_low,fail_s_L2_ci95_high,fail_s_L16,fail_s_L16_k,fail_s_L16_n,fail_s_L16_ci95_low,fail_s_L16_ci95_high,fail_s_Lfull,fail_s_Lfull_k,fail_s_Lfull_n,fail_s_Lfull_ci95_low,fail_s_Lfull_ci95_high,future_amplified,future_amplified_k,future_amplified_n,future_amplified_ci95_low,future_amplified_ci95_high,max_es_future_p50,max_es_future_p90,gain_p50,n_es_nonfinite
18,90,0.5333333333333333,48,90,0.4310200470971506,0.6329174816747374,0.5333333333333333,48,90,0.4310200470971506,0.6329174816747374,0.5444444444444444,49,90,0.4418444949284148,0.6434055434341024,0.5444444444444444,49,90,0.4418444949284148,0.6434055434341024,0.5111111111111111,46,90,0.40951565938168355,0.6117968502089457,2.288818359375e-05,0.6098599433898926,0.0725060634731506,49
31,90,0.5444444444444444,49,90,0.4418444949284148,0.6434055434341024,0.5444444444444444,49,90,0.4418444949284148,0.6434055434341024,0.5555555555555556,50,90,0.4527174112548652,0.6538451366982815,0.5555555555555556,50,90,0.4527174112548652,0.6538451366982815,0.43333333333333335,39,90,0.33576405263265097,0.5363608898235731,0.00040459632873535156,0.7150478363037109,0.06746927867119083,33
4,108,0.5277777777777778,57,108,0.4342949982627799,0.6193523029203218,0.5277777777777778,57,108,0.4342949982627799,0.6193523029203218,0.5370370370370371,58,108,0.44334384333440474,0.6281858915763978,0.5370370370370371,58,108,0.44334384333440474,0.6281858915763978,0.5,54,108,0.407333152227769,0.592666847772231,0.00017404556274414062,0.43952512741088867,0.013291208339337378,41
