prompt_id,layer,ctx,kv_head,k_kind,rel,bit_class,abs_delta_k,ek_bin,n_queries,max_es_u0,max_es_future,max_es_lifetime,future_amplified,gain_u0,gain_p50,n_es_nonfinite,fail_s_L1,fail_s_L2,fail_s_L16,fail_s_Lfull
seq_0001,18,256,7,numeric,0.01,,0.00326171885,"[0.001,0.01)",16,0.000194549560546875,0.0009174346923828125,0.0009174346923828125,True,0.059646330488364645,0.10087247067885198,0,True,True,True,True
seq_0001,18,256,7,numeric,0.1,,0.0326171885,"[0.01,0.1)",16,0.0016508102416992188,0.0077953338623046875,0.0077953338623046875,True,0.05061166573718048,0.08575621929933584,0,True,True,True,True
seq_0001,18,256,7,bitflip,,sign,0.65234375,"[0.1,1)",16,0.032433509826660156,0.15315818786621094,0.15315818786621094,True,0.049718434225223186,0.08424532770383793,0,True,True,True,True
seq_0001,18,256,7,bitflip,,exponent,1.1099053764804048e+38,"[10,inf)",16,5.518277013335318e+36,1.7781114398196934e+37,1.7781114398196934e+37,True,0.049718445646548697,0.10565169557125982,0,True,True,True,True
seq_0001,18,256,7,bitflip,,mantissa,0.001953125,"[0.001,0.01)",16,9.72747802734375e-05,0.00045871734619140625,0.00045871734619140625,True,0.0498046874745,0.08447265620675,0,True,True,True,True
seq_0002,31,64,0,numeric,1e-06,,2.07812501e-06,"[1e-06,1e-05)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0002,31,64,0,numeric,1e-05,,2.0781250100000002e-05,"[1e-05,0.0001)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0002,31,64,0,numeric,0.0001,,0.000207812501,"[0.0001,0.001)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0002,31,64,0,numeric,0.001,,0.00207812501,"[0.001,0.01)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0002,31,64,0,numeric,0.01,,0.0207812501,"[0.01,0.1)",16,0.0019311904907226562,0.0020933151245117188,0.0020933151245117188,True,0.09292946677109319,0.07269149400761067,0,True,True,True,True
seq_0002,31,64,0,numeric,0.1,,0.207812501,"[0.1,1)",16,0.025107383728027344,0.028052806854248047,0.028052806854248047,True,0.12081748502659387,0.10056803948855896,0,True,True,True,True
seq_0002,31,64,0,bitflip,,sign,4.15625,"[1,10)",16,0.513735294342041,0.556786060333252,0.556786060333252,True,0.12360548435294254,0.09667475420727233,0,True,True,True,True
seq_0002,31,64,0,bitflip,,exponent,2.078125,"[1,10)",16,0.2568674087524414,0.2783932685852051,0.2783932685852051,True,0.12360536962517547,0.09667475420724905,0,True,True,True,True
seq_0002,31,64,0,bitflip,,mantissa,0.015625,"[0.01,0.1)",16,0.0019311904907226562,0.0020933151245117188,0.0020933151245117188,True,0.12359619139833986,0.0966796874938125,0,True,True,True,True
seq_0002,31,256,0,numeric,1e-06,,2.8125001e-07,"[1e-07,1e-06)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0002,31,256,0,numeric,1e-05,,2.8125001e-06,"[1e-06,1e-05)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0002,31,256,0,numeric,0.0001,,2.8125001000000002e-05,"[1e-05,0.0001)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0002,31,256,0,numeric,0.001,,0.00028125001,"[0.0001,0.001)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0002,31,256,0,numeric,0.01,,0.0028125001,"[0.001,0.01)",16,0.00019025802612304688,0.00040459632873535156,0.00040459632873535156,True,0.06764729574779378,0.09687211430550294,0,True,True,True,True
seq_0002,31,256,0,numeric,0.1,,0.028125001,"[0.01,0.1)",16,0.002662181854248047,0.004909217357635498,0.004909217357635498,True,0.0946553514488192,0.1329252407660048,0,True,True,True,True
seq_0002,31,256,0,bitflip,,sign,0.5625,"[0.1,1)",16,0.05476808547973633,0.10099059343338013,0.10099059343338013,True,0.09736548529713594,0.13672574361141057,0,True,True,True,True
