prompt_id,layer,ctx,query_u,k_kind,rel,bit_class,abs_delta_k,q_abs_at_dim,predicted_es_scaled,es_at_fault_key_scaled,max_abs_es_scaled,rel_err
seq_0001,18,64,5,numeric,0.01,,0.015625,0.62109375,0.0008577726608937154,0.0008577108383178711,0.0008577108383178711,7.207338096769307e-05
seq_0001,18,64,6,numeric,0.01,,0.015625,0.53125,0.0007336923388776434,0.0007336139678955078,0.0007336139678955078,0.00010681722825214875
seq_0001,18,64,7,numeric,0.01,,0.015625,0.546875,0.0007552715253152211,0.00075531005859375,0.00075531005859375,5.1019106621054014e-05
seq_0001,18,64,0,bitflip,,mantissa,0.0078125,0.3984375,0.00027513462707911624,0.0002751350402832031,0.0002751350402832031,1.5018250874889875e-06
seq_0001,18,64,1,bitflip,,mantissa,0.0078125,0.48046875,0.00033177999147775784,0.00033092498779296875,0.00033092498779296875,0.0025770200258426064
seq_0001,18,64,2,bitflip,,mantissa,0.0078125,1.4609375,0.0010088269659567597,0.0010089874267578125,0.0010089874267578125,0.00015905681183055528
seq_0001,18,64,3,bitflip,,mantissa,0.0078125,1.3984375,0.0009656685930816042,0.0009655952453613281,0.0009655952453613281,7.595537508992838e-05
seq_0001,18,64,4,bitflip,,mantissa,0.0078125,0.91796875,0.0006338886016038463,0.0006337165832519531,0.0006337165832519531,0.0002713700028467632
seq_0001,18,64,5,bitflip,,mantissa,0.0078125,0.62109375,0.0004288863304468577,0.00042891502380371094,0.00042891502380371094,6.690200817644146e-05
seq_0001,18,64,6,bitflip,,mantissa,0.0078125,0.53125,0.0003668461694388217,0.0003669261932373047,0.0003669261932373047,0.00021813993147938563
seq_0001,18,64,7,bitflip,,mantissa,0.0078125,0.546875,0.00037763576265761054,0.000377655029296875,0.000377655029296875,5.101910655350333e-05
seq_0002,18,64,0,numeric,0.0001,,0.0,2.59375,0.0,0.0,0.0,0.0
seq_0002,18,64,1,numeric,0.0001,,0.0,0.6640625,0.0,0.0,0.0,0.0
seq_0002,18,64,2,numeric,0.0001,,0.0,0.953125,0.0,0.0,0.0,0.0
seq_0002,18,64,3,numeric,0.0001,,0.0,1.0859375,0.0,0.0,0.0,0.0
seq_0002,18,64,4,numeric,0.0001,,0.0,0.796875,0.0,0.0,0.0,0.0
seq_0002,18,64,5,numeric,0.0001,,0.0,0.7890625,0.0,0.0,0.0,0.0
seq_0002,18,64,6,numeric,0.0001,,0.0,1.734375,0.0,0.0,0.0,0.0
seq_0002,18,64,7,numeric,0.0001,,0.0,0.921875,0.0,0.0,0.0,0.0
seq_0002,18,64,0,numeric,0.001,,0.0,2.59375,0.0,0.0,0.0,0.0
seq_0002,18,64,1,numeric,0.001,,0.0,0.6640625,0.0,0.0,0.0,0.0
seq_0002,18,64,2,numeric,0.001,,0.0,0.953125,0.0,0.0,0.0,0.0
seq_0002,18,64,3,numeric,0.001,,0.0,1.0859375,0.0,0.0,0.0,0.0
seq_0002,18,64,4,numeric,0.001,,0.0,0.796875,0.0,0.0,0.0,0.0
seq_0002,18,64,5,numeric,0.001,,0.0,0.7890625,0.0,0.0,0.0,0.0
seq_0002,18,64,6,numeric,0.001,,0.0,1.734375,0.0,0.0,0.0,0.0
seq_0002,18,64,7,numeric,0.001,,0.0,0.921875,0.0,0.0,0.0,0.0
seq_0002,18,64,0,numeric,0.01,,0.0009765625,2.59375,0.00022388405928986912,0.00022411346435546875,0.00022411346435546875,0.0010246601089091234
seq_0002,18,64,1,numeric,0.01,,0.0009765625,0.6640625,5.7319713974815885e-05,5.7220458984375e-05,5.7220458984375e-05,0.0017316030005469188
seq_0002,18,64,2,numeric,0.01,,0.0009765625,0.953125,8.227064829326515e-05,8.249282836914062e-05,8.249282836914062e-05,0.002700599518589952
seq_0002,18,64,3,numeric,0.01,,0.0009765625,1.0859375,9.373459108822834e-05,9.34600830078125e-05,9.34600830078125e-05,0.0029285675042726557
seq_0002,18,64,4,numeric,0.01,,0.0009765625,0.796875,6.878365676977906e-05,6.866455078125e-05,6.866455078125e-05,0.0017316030055818054
seq_0002,18,64,5,numeric,0.01,,0.0009765625,0.7890625,6.810930719360476e-05,6.866455078125e-05,6.866455078125e-05,0.008152242364096897
seq_0002,18,64,6,numeric,0.01,,0.0009765625,1.734375,0.00014970560591069562,0.00014925003051757812,0.00014925003051757812,0.003043141820261002
seq_0002,18,64,7,numeric,0.01,,0.0009765625,0.921875,7.957324998856794e-05,7.915496826171875e-05,7.915496826171875e-05,0.005256561993543295
seq_0002,18,64,0,bitflip,,mantissa,0.00048828125,2.59375,0.00011194202964493456,0.00011205673217773438,0.00011205673217773438,0.001024660104332379
seq_0002,18,64,1,bitflip,,mantissa,0.00048828125,1.140625,4.9227519060724234e-05,5.0067901611328125e-05,5.0067901611328125e-05,0.01707139725030316
seq_0002,18,64,2,bitflip,,mantissa,0.00048828125,0.70703125,3.051431832188728e-05,3.147125244140625e-05,3.147125244140625e-05,0.031360166006802574
seq_0002,18,64,3,bitflip,,mantissa,0.00048828125,1.140625,4.9227519060724234e-05,4.9114227294921875e-05,4.9114227294921875e-05,0.0023013908818199343
seq_0002,18,64,4,bitflip,,mantissa,0.00048828125,1.140625,4.9227519060724234e-05,4.9114227294921875e-05,4.9114227294921875e-05,0.0023013908818199343
seq_0002,18,64,5,bitflip,,mantissa,0.00048828125,0.90234375,3.894368802406609e-05,3.8623809814453125e-05,3.8623809814453125e-05,0.00821386513782214
seq_0002,18,64,6,bitflip,,mantissa,0.00048828125,1.171875,5.057621821307284e-05,5.054473876953125e-05,5.054473876953125e-05,0.0006224159107063754
seq_0002,18,64,7,bitflip,,mantissa,0.00048828125,1.609375,6.945800634595337e-05,6.866455078125e-05,6.866455078125e-05,0.011423529050457225
seq_0003,18,64,0,numeric,0.0001,,0.0,1.03125,0.0,0.0,0.0,0.0
seq_0003,18,64,1,numeric,0.0001,,0.0,0.8515625,0.0,0.0,0.0,0.0
seq_0003,18,64,2,numeric,0.0001,,0.0,1.8359375,0.0,0.0,0.0,0.0
seq_0003,18,64,3,numeric,0.0001,,0.0,0.87109375,0.0,0.0,0.0,0.0
seq_0003,18,64,4,numeric,0.0001,,0.0,1.296875,0.0,0.0,0.0,0.0
seq_0003,18,64,5,numeric,0.0001,,0.0,1.359375,0.0,0.0,0.0,0.0
seq_0003,18,64,6,numeric,0.0001,,0.0,1.171875,0.0,0.0,0.0,0.0
seq_0003,18,64,7,numeric,0.0001,,0.0,1.3125,0.0,0.0,0.0,0.0
seq_0003,18,64,0,numeric,0.001,,0.0,1.03125,0.0,0.0,0.0,0.0
seq_0003,18,64,1,numeric,0.001,,0.0,0.8515625,0.0,0.0,0.0,0.0
seq_0003,18,64,2,numeric,0.001,,0.0,1.8359375,0.0,0.0,0.0,0.0
seq_0003,18,64,3,numeric,0.001,,0.0,0.87109375,0.0,0.0,0.0,0.0
seq_0003,18,64,4,numeric,0.001,,0.0,1.296875,0.0,0.0,0.0,0.0
seq_0003,18,64,5,numeric,0.001,,0.0,1.359375,0.0,0.0,0.0,0.0
seq_0003,18,64,6,numeric,0.001,,0.0,1.171875,0.0,0.0,0.0,0.0
seq_0003,18,64,7,numeric,0.001,,0.0,1.3125,0.0,0.0,0.0,0.0
seq_0003,18,64,0,numeric,0.01,,0.0009765625,1.03125,8.90141440550082e-05,8.96453857421875e-05,8.96453857421875e-05,0.007091476155719015
seq_0003,18,64,1,numeric,0.01,,0.0009765625,0.8515625,7.35041038029992e-05,7.390975952148438e-05,7.390975952148438e-05,0.005518817208540722
seq_0003,18,64,2,numeric,0.01,,0.0009765625,1.8359375,0.00015847215040096157,0.0001583099365234375,0.0001583099365234375,0.0010236112533970503
seq_0003,18,64,3,numeric,0.01,,0.0009765625,0.87109375,7.518997774343496e-05,7.486343383789062e-05,7.486343383789062e-05,0.004342917912752436
seq_0003,18,64,4,numeric,0.01,,0.0009765625,1.5625,0.0001348699152348609,0.00013446807861328125,0.00013446807861328125,0.0029794385048768257
seq_0003,18,64,5,numeric,0.01,,0.0009765625,1.0703125,9.238589193587972e-05,9.250640869140625e-05,9.250640869140625e-05,0.0013044930529618423
seq_0003,18,64,6,numeric,0.01,,0.0009765625,1.109375,9.575763981675124e-05,9.584426879882812e-05,9.584426879882812e-05,0.0009046691348909007
seq_0003,18,64,7,numeric,0.01,,0.0009765625,1.5078125,0.0001301494682016408,0.00013065338134765625,0.00013065338134765625,0.003871803312810637
seq_0003,18,64,0,bitflip,,mantissa,0.00048828125,1.03125,4.45070720275041e-05,4.482269287109375e-05,4.482269287109375e-05,0.00709147607605217
seq_0003,18,64,1,bitflip,,mantissa,0.00048828125,0.8515625,3.67520519014996e-05,3.719329833984375e-05,3.719329833984375e-05,0.012006035132969254
seq_0003,18,64,2,bitflip,,mantissa,0.00048828125,1.8359375,7.923607520048078e-05,7.963180541992188e-05,7.963180541992188e-05,0.004994318729764299
seq_0003,18,64,3,bitflip,,mantissa,0.00048828125,0.87109375,3.759498887171748e-05,3.6716461181640625e-05,3.6716461181640625e-05,0.023368211910006886
seq_0003,18,64,4,bitflip,,mantissa,0.00048828125,1.5625,6.743495761743045e-05,6.771087646484375e-05,6.771087646484375e-05,0.004091629224222252
seq_0003,18,64,5,bitflip,,mantissa,0.00048828125,1.0703125,4.619294596793986e-05,4.6253204345703125e-05,4.6253204345703125e-05,0.0013044930388417962
seq_0003,18,64,6,bitflip,,mantissa,0.00048828125,1.109375,4.787881990837562e-05,4.76837158203125e-05,4.76837158203125e-05,0.004074955990175402
seq_0003,18,64,7,bitflip,,mantissa,0.00048828125,1.5078125,6.50747341008204e-05,6.580352783203125e-05,6.580352783203125e-05,0.011199334581719511
