k_kind,rel,bit_class,layer,n_trials,H_L1,H_L1_k,H_L1_n,H_L1_ci95_low,H_L1_ci95_high,H_L2,H_L2_k,H_L2_n,H_L2_ci95_low,H_L2_ci95_high,H_L16,H_L16_k,H_L16_n,H_L16_ci95_low,H_L16_ci95_high,H_Lfull,H_Lfull_k,H_Lfull_n,H_Lfull_ci95_low,H_Lfull_ci95_high,delayed_harm,delayed_harm_k,delayed_harm_n,delayed_harm_ci95_low,delayed_harm_ci95_high
bitflip,,sign,4,168,0.2857142857142857,48,168,0.22278997725394956,0.3582195105534266,0.43452380952380953,73,168,0.36185814941439387,0.5101169718600823,0.5773809523809523,97,168,0.5017727861422681,0.6495293432606237,0.5773809523809523,97,168,0.5017727861422681,0.6495293432606237,0.2916666666666667,49,168,0.22820453217253062,0.36444358097352963
bitflip,,sign,all,504,0.23214285714285715,117,504,0.197392615452164,0.2709455435328424,0.33134920634920634,167,504,0.29166635188354356,0.37358360006997887,0.4861111111111111,245,504,0.44274557886300425,0.5296867701214034,0.4861111111111111,245,504,0.44274557886300425,0.5296867701214034,0.25396825396825395,128,504,0.21792542761597364,0.2937333258221062
numeric,0.0001,,18,168,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422
numeric,0.0001,,31,168,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422
numeric,0.0001,,4,168,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422
numeric,0.0001,,all,504,0.0,0,504,0.0,0.007564563438678517,0.0,0,504,0.0,0.007564563438678517,0.0,0,504,0.0,0.007564563438678517,0.0,0,504,0.0,0.007564563438678517,0.0,0,504,0.0,0.007564563438678517
numeric,0.001,,18,168,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422
numeric,0.001,,31,168,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422
numeric,0.001,,4,168,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422
numeric,0.001,,all,504,0.0,0,504,0.0,0.007564563438678517,0.0,0,504,0.0,0.007564563438678517,0.0,0,504,0.0,0.007564563438678517,0.0,0,504,0.0,0.007564563438678517,0.0,0,504,0.0,0.007564563438678517
numeric,0.01,,18,168,0.30952380952380953,52,168,0.24452943390947618,0.383034555252636,0.36904761904761907,62,168,0.29976657074149565,0.4441836718074565,0.5357142857142857,90,168,0.46034382553061526,0.6094879265014886,0.5357142857142857,90,168,0.46034382553061526,0.6094879265014886,0.2261904761904762,38,168,0.169460129183173,0.29516310523736317
numeric,0.01,,31,168,0.18452380952380953,31,168,0.13314977410179082,0.2500030829479573,0.2857142857142857,48,168,0.22278997725394956,0.3582195105534266,0.40476190476190477,68,168,0.3334700860620521,0.48031190851900407,0.40476190476190477,68,168,0.3334700860620521,0.48031190851900407,0.22023809523809523,37,168,0.16421635802623955,0.2887682510556126
numeric,0.01,,4,168,0.2261904761904762,38,168,0.169460129183173,0.29516310523736317,0.39285714285714285,66,168,0.32219093669811955,0.46831380720556853,0.5654761904761905,95,168,0.4898830281399178,0.6381418505856062,0.5654761904761905,95,168,0.4898830281399178,0.6381418505856062,0.3392857142857143,57,168,0.2719958723588853,0.41376124349664695
numeric,0.01,,all,504,0.2400793650793651,121,504,0.2048440136112366,0.27924708881125104,0.3492063492063492,176,504,0.30886892865495336,0.391825146032902,0.501984126984127,253,504,0.458482208346784,0.5454560275125863,0.501984126984127,253,504,0.458482208346784,0.5454560275125863,0.2619047619047619,132,504,0.22542328523389055,0.3019884116416707
numeric,0.1,,18,168,0.31547619047619047,53,168,0.2499974121429434,0.3892052023578528,0.39880952380952384,67,168,0.3278250046321085,0.47431836461026367,0.5178571428571429,87,168,0.44274583327172734,0.5921700427443248,0.5178571428571429,87,168,0.44274583327172734,0.5921700427443248,0.20238095238095238,34,168,0.1485947022039544,0.2694740308618458
numeric,0.1,,31,168,0.23214285714285715,39,168,0.17472133401077244,0.3015405257484477,0.2976190476190476,50,168,0.23363277987998807,0.37065395860475603,0.5119047619047619,86,168,0.43690061343139175,0.5863766372459762,0.5119047619047619,86,168,0.43690061343139175,0.5863766372459762,0.27976190476190477,47,168,0.21738936219301144,0.35198150027568076
numeric,0.1,,4,168,0.2857142857142857,48,168,0.22278997725394956,0.3582195105534266,0.44642857142857145,75,168,0.37328814560586265,0.5219642263459815,0.6011904761904762,101,168,0.5256816353897363,0.6721749953678916,0.6011904761904762,101,168,0.5256816353897363,0.6721749953678916,0.31547619047619047,53,168,0.2499974121429434,0.3892052023578528
numeric,0.1,,all,504,0.2777777777777778,140,504,0.24046638261735934,0.3184512011331645,0.38095238095238093,192,504,0.33960668999479426,0.4240991584429863,0.5436507936507936,274,504,0.49999812413873823,0.5866430647674089,0.5436507936507936,274,504,0.49999812413873823,0.5866430647674089,0.26587301587301587,134,504,0.22917822106483376,0.3061099475294681
numeric,1e-05,,18,168,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422
numeric,1e-05,,31,168,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422
numeric,1e-05,,4,168,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422
numeric,1e-05,,all,504,0.0,0,504,0.0,0.007564563438678517,0.0,0,504,0.0,0.007564563438678517,0.0,0,504,0.0,0.007564563438678517,0.0,0,504,0.0,0.007564563438678517,0.0,0,504,0.0,0.007564563438678517
numeric,1e-06,,18,168,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422
numeric,1e-06,,31,168,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422
numeric,1e-06,,4,168,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422,0.0,0,168,0.0,0.02235547155054422
numeric,1e-06,,all,504,0.0,0,504,0.0,0.007564563438678517,0.0,0,504,0.0,0.007564563438678517,0.0,0,504,0.0,0.007564563438678517,0.0,0,504,0.0,0.007564563438678517,0.0,0,504,0.0,0.007564563438678517
