prompt_id,layer,ctx,k_kind,rel,bit_class,kv_head,abs_delta_k,max_es_u0,max_es_future,future_amplified,n_queries,fail_s_L1,fail_s_L2,fail_s_L16,fail_s_full
seq_0045,4,64,bitflip,,mantissa,5,0.001953125,0.0001207590103149414,0.00024271011352539062,True,16,True,True,True,True
seq_0045,4,256,numeric,1e-06,,5,0.0,0.0,0.0,False,16,False,False,False,False
seq_0045,4,256,numeric,1e-05,,5,0.0,0.0,0.0,False,16,False,False,False,False
seq_0045,4,256,numeric,0.0001,,5,0.0,0.0,0.0,False,16,False,False,False,False
seq_0045,4,256,numeric,0.001,,5,0.0,0.0,0.0,False,16,False,False,False,False
seq_0045,4,256,numeric,0.01,,5,0.000244140625,1.33514404296875e-05,5.1975250244140625e-05,True,16,False,False,True,True
seq_0045,4,256,numeric,0.1,,5,0.0025634765625,0.00014448165893554688,0.0005414485931396484,True,16,True,True,True,True
seq_0045,4,256,bitflip,,sign,5,0.05078125,0.002857685089111328,0.010730266571044922,True,16,True,True,True,True
seq_0045,4,256,bitflip,,exponent,5,8.639981972601953e+36,4.86245377621463e+35,1.8256574010300436e+36,True,16,True,True,True,True
seq_0045,4,256,bitflip,,mantissa,5,0.0001220703125,6.67572021484375e-06,2.5510787963867188e-05,True,16,False,False,True,True
seq_0046,18,64,numeric,1e-06,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0046,18,64,numeric,1e-05,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0046,18,64,numeric,0.0001,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0046,18,64,numeric,0.001,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0046,18,64,numeric,0.01,,1,3.814697265625e-06,3.5762786865234375e-07,4.76837158203125e-07,True,16,False,False,False,False
seq_0046,18,64,numeric,0.1,,1,4.9591064453125e-05,4.172325134277344e-06,5.185604095458984e-06,True,16,False,False,False,False
seq_0046,18,64,bitflip,,sign,1,0.0009765625,8.225440979003906e-05,0.0001004934310913086,True,16,True,True,True,True
seq_0046,18,64,bitflip,,exponent,1,1.661534994731145e+35,1.3997625708687338e+34,1.7554398277279656e+34,True,16,True,True,True,True
seq_0046,18,64,bitflip,,mantissa,1,3.814697265625e-06,3.5762786865234375e-07,4.76837158203125e-07,True,16,False,False,False,False
seq_0046,18,256,numeric,1e-06,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0046,18,256,numeric,1e-05,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0046,18,256,numeric,0.0001,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0046,18,256,numeric,0.001,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0046,18,256,numeric,0.01,,1,0.00390625,0.0005340576171875,0.0014238357543945312,True,16,True,True,True,True
seq_0046,18,256,numeric,0.1,,1,0.052734375,0.007210254669189453,0.019227027893066406,True,16,True,True,True,True
seq_0046,18,256,bitflip,,sign,1,1.0625,0.14527130126953125,0.38739013671875,True,16,True,True,True,True
seq_0046,18,256,bitflip,,exponent,1,1.8077500742674856e+38,2.4716593091322406e+37,2.3093787357729434e+37,False,16,True,True,True,True
seq_0046,18,256,bitflip,,mantissa,1,0.00390625,0.0005340576171875,0.0014238357543945312,True,16,True,True,True,True
seq_0047,31,64,numeric,1e-06,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0047,31,64,numeric,1e-05,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0047,31,64,numeric,0.0001,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0047,31,64,numeric,0.001,,1,0.0,0.0,0.0,False,16,False,False,False,False
seq_0047,31,64,numeric,0.01,,1,0.015625,0.0013380050659179688,0.0022225379943847656,True,16,True,True,True,True
