prompt_id,ctx,layer,seed,prompt_tokens,gen_tokens,ppl,nll_true_next,seconds
seq_0201,64,31,43,64,16,1.461670916637016,0.999549388885498,0.6667665652930737
seq_0201,256,31,43,256,16,1.0322896327897855,2.145764938177308e-06,0.6583088897168636
seq_0202,64,4,43,64,16,2.2930436558871095,7.647510528564453,0.6753204800188541
seq_0202,256,4,43,256,16,1.0742592676446236,4.625213477993384e-05,0.6137165129184723
seq_0203,64,18,43,64,16,2.8313863245619726,0.014395901933312416,0.6743603087961674
seq_0203,256,18,43,256,16,2.8058619465033594,2.9212965965270996,0.6723560113459826
seq_0204,64,31,43,64,16,5.897143455722928,1.8741750717163086,0.6163628734648228
seq_0204,256,31,43,256,16,1.0000736473626595,3.099436753473128e-06,0.6768795400857925
seq_0205,64,4,43,64,16,2.2168521075185907,0.7160924673080444,0.6575793698430061
seq_0205,256,4,43,256,16,1.0701960266029236,1.9550132492440753e-05,0.6641422789543867
seq_0206,64,18,43,64,16,1.6969537771243564,4.782725811004639,0.6615492459386587
seq_0206,256,18,43,256,16,1.9007786238720075,2.633009910583496,0.6370175685733557
seq_0207,64,31,43,64,16,2.1529794331574004,1.2538201808929443,0.6433346047997475
seq_0207,256,31,43,256,16,1.0003175151606338,0.002141208155080676,0.6278727557510138
seq_0208,64,4,43,64,16,2.624315450025355,0.08034002780914307,0.6588939912617207
seq_0208,256,4,43,256,16,1.0000196986752252,0.00014935807848814875,0.6363998036831617
seq_0209,64,18,43,64,16,2.5973635534463435,4.085516929626465,0.6617883294820786
seq_0209,256,18,43,256,16,1.469243945965025,5.582616806030273,0.6878047119826078
seq_0210,64,31,43,64,16,3.3536240369664703,10.156058311462402,0.6368574034422636
seq_0210,256,31,43,256,16,1.001427174559519,2.5152843591058627e-05,0.6612485889345407
seq_0211,64,4,43,64,16,1.3253197556478957,0.6845148205757141,0.6508186310529709
seq_0211,256,4,43,256,16,1.6858779477960724,7.1058125495910645,0.6729967817664146
seq_0212,64,18,43,64,16,1.3288721765830172,0.04261135309934616,0.6248247940093279
seq_0212,256,18,43,256,16,1.752172966593499,5.531158240046352e-05,0.6644298508763313
seq_0213,64,31,43,64,16,1.755544275673221,7.249845027923584,0.6581404469907284
seq_0213,256,31,43,256,16,1.0003156370844357,0.001975610153749585,0.6319936476647854
seq_0214,64,4,43,64,16,1.4823972491467774,0.915035605430603,0.6755047179758549
seq_0214,256,4,43,256,16,1.805255038450636,0.8288896083831787,0.6367686428129673
seq_0215,64,18,43,64,16,2.1537389973682926,7.533491134643555,0.6783315800130367
seq_0215,256,18,43,256,16,1.0429324811282286,5.3165931603871286e-05,0.669259225949645
seq_0196,64,4,44,64,16,2.545739041097481,8.92609977722168,0.6742764785885811
seq_0196,256,4,44,256,16,1.0018517798286835,3.576278118089249e-07,0.6468011401593685
seq_0197,64,18,44,64,16,2.014480337210042,8.18407917022705,0.6957572158426046
seq_0197,256,18,44,256,16,1.0000394009181701,6.437280717364047e-06,0.6749064046889544
seq_0198,64,31,44,64,16,1.7005365197633393,13.12408447265625,0.6897129565477371
seq_0198,256,31,44,256,16,1.1081521530314786,0.35992810130119324,0.6533568408340216
seq_0199,64,4,44,64,16,3.1783979072601714,4.825356960296631,0.673545565456152
seq_0199,256,4,44,256,16,1.0002615635246441,6.48477507638745e-05,0.666647057980299
seq_0200,64,18,44,64,16,5.310988824109702,8.213411331176758,0.6832495406270027
seq_0200,256,18,44,256,16,2.3815704515866605,0.02381284534931183,0.637164955958724
seq_0201,64,31,44,64,16,1.461670916637016,0.999549388885498,0.6559592206031084
seq_0201,256,31,44,256,16,1.0322896327897855,2.145764938177308e-06,0.6357395350933075
seq_0202,64,4,44,64,16,2.2930436558871095,7.647510528564453,0.6565328855067492
seq_0202,256,4,44,256,16,1.0742592676446236,4.625213477993384e-05,0.6266786959022284
seq_0203,64,18,44,64,16,2.8313863245619726,0.014395901933312416,0.6764863524585962
seq_0203,256,18,44,256,16,2.8058619465033594,2.9212965965270996,0.6783943399786949
seq_0204,64,31,44,64,16,5.897143455722928,1.8741750717163086,0.6322452761232853
seq_0204,256,31,44,256,16,1.0000736473626595,3.099436753473128e-06,0.6703766342252493
seq_0205,64,4,44,64,16,2.2168521075185907,0.7160924673080444,0.5927666947245598
seq_0205,256,4,44,256,16,1.0701960266029236,1.9550132492440753e-05,0.6867778282612562
seq_0206,64,18,44,64,16,1.6969537771243564,4.782725811004639,0.6262941639870405
seq_0206,256,18,44,256,16,1.9007786238720075,2.633009910583496,0.6699176207184792
seq_0207,64,31,44,64,16,2.1529794331574004,1.2538201808929443,0.6279727406799793
seq_0207,256,31,44,256,16,1.0003175151606338,0.002141208155080676,0.6747820824384689
