prompt_id,layer,ctx,k_kind,rel,bit_class,kv_head,abs_delta_k,max_es_u0,max_es_future,future_amplified,n_queries,fail_s_L1,fail_s_L2,fail_s_L16,fail_s_full
seq_0003,4,64,numeric,0.0001,,5,5.6640626000000006e-05,0.0,0.0,False,16,False,False,False,False
seq_0003,4,64,numeric,0.001,,5,0.00056640626,0.0,0.0,False,16,False,False,False,False
seq_0003,4,64,numeric,0.01,,5,0.0056640626,0.0007174015045166016,0.0009603500366210938,True,16,True,True,True,True
seq_0003,4,64,numeric,0.1,,5,0.056640626000000006,0.010762691497802734,0.016831636428833008,True,16,True,True,True,True
seq_0003,4,64,bitflip,,sign,5,1.1328125,0.20807719230651855,0.32541418075561523,True,16,True,True,True,True
seq_0003,4,64,bitflip,,exponent,5,1.927380593888128e+38,inf,2.2625669344077154e+37,False,16,True,True,True,True
seq_0003,4,64,bitflip,,mantissa,5,0.00390625,0.0007176399230957031,0.001122117042541504,True,16,True,True,True,True
seq_0003,4,256,numeric,1e-06,,5,8.242187600000001e-07,0.0,0.0,False,16,False,False,False,False
seq_0003,4,256,numeric,1e-05,,5,8.242187600000001e-06,0.0,0.0,False,16,False,False,False,False
seq_0003,4,256,numeric,0.0001,,5,8.242187600000001e-05,0.0,0.0,False,16,False,False,False,False
seq_0003,4,256,numeric,0.001,,5,0.00082421876,0.0,0.0,False,16,False,False,False,False
seq_0003,4,256,numeric,0.01,,5,0.0082421876,0.0006122589111328125,0.0019207000732421875,True,16,True,True,True,True
seq_0003,4,256,numeric,0.1,,5,0.082421876,0.006429195404052734,0.02016592025756836,True,16,True,True,True,True
seq_0003,4,256,bitflip,,sign,5,1.6484375,0.1291971206665039,0.40523529052734375,True,16,True,True,True,True
seq_0003,4,256,bitflip,,exponent,5,2.8046710711061725e+38,2.1981778898197227e+37,2.0045058508216737e+37,False,16,True,True,True,True
seq_0003,4,256,bitflip,,mantissa,5,0.00390625,0.00030612945556640625,0.0009603500366210938,True,16,True,True,True,True
seq_0004,18,64,numeric,1e-06,,1,1.572265725e-07,0.0,0.0,False,16,False,False,False,False
seq_0004,18,64,numeric,1e-05,,1,1.572265725e-06,0.0,0.0,False,16,False,False,False,False
seq_0004,18,64,numeric,0.0001,,1,1.572265725e-05,0.0,0.0,False,16,False,False,False,False
seq_0004,18,64,numeric,0.001,,1,0.0001572265725,0.0,0.0,False,16,False,False,False,False
seq_0004,18,64,numeric,0.01,,1,0.001572265725,0.0002334117889404297,0.0003101825714111328,True,16,True,True,True,True
seq_0004,18,64,numeric,0.1,,1,0.01572265725,0.0018665790557861328,0.0024815797805786133,True,16,True,True,True,True
seq_0004,18,64,bitflip,,sign,1,0.314453125,0.03756523132324219,0.04994237422943115,True,16,True,True,True,True
seq_0004,18,64,bitflip,,exponent,1,5.350142683034286e+37,6.391407492284617e+36,5.578627323110983e+36,False,16,True,True,True,True
seq_0004,18,64,bitflip,,mantissa,1,0.0009765625,0.00011658668518066406,0.0001550912857055664,True,16,True,True,True,True
seq_0004,18,256,numeric,1e-06,,1,1.4648447499999999e-08,0.0,0.0,False,16,False,False,False,False
seq_0004,18,256,numeric,1e-05,,1,1.46484475e-07,0.0,0.0,False,16,False,False,False,False
seq_0004,18,256,numeric,0.0001,,1,1.46484475e-06,0.0,0.0,False,16,False,False,False,False
seq_0004,18,256,numeric,0.001,,1,1.46484475e-05,0.0,0.0,False,16,False,False,False,False
seq_0004,18,256,numeric,0.01,,1,0.000146484475,1.3589859008789062e-05,2.288818359375e-05,True,16,False,False,True,True
seq_0004,18,256,numeric,0.1,,1,0.0014648447500000001,0.0001628398895263672,0.0002713203430175781,True,16,True,True,True,True
seq_0004,18,256,bitflip,,sign,1,0.029296875,0.003257274627685547,0.005421638488769531,True,16,True,True,True,True
