k_kind,rel,bit_class,layer,n_trials,H_L1,H_L1_k,H_L1_n,H_L1_ci95_low,H_L1_ci95_high,H_L2,H_L2_k,H_L2_n,H_L2_ci95_low,H_L2_ci95_high,H_L16,H_L16_k,H_L16_n,H_L16_ci95_low,H_L16_ci95_high,H_Lfull,H_Lfull_k,H_Lfull_n,H_Lfull_ci95_low,H_Lfull_ci95_high,delayed_harm,delayed_harm_k,delayed_harm_n,delayed_harm_ci95_low,delayed_harm_ci95_high
numeric,0.0001,,4,12,0.0,0,12,0.0,0.2425007574992425,0.0,0,12,0.0,0.2425007574992425,0.0,0,12,0.0,0.2425007574992425,0.0,0,12,0.0,0.2425007574992425,0.0,0,12,0.0,0.2425007574992425
numeric,0.0001,,all,32,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635
numeric,0.001,,18,10,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166
numeric,0.001,,31,10,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166
numeric,0.001,,4,12,0.0,0,12,0.0,0.2425007574992425,0.0,0,12,0.0,0.2425007574992425,0.0,0,12,0.0,0.2425007574992425,0.0,0,12,0.0,0.2425007574992425,0.0,0,12,0.0,0.2425007574992425
numeric,0.001,,all,32,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635
numeric,0.01,,18,10,0.2,2,10,0.056680947980693314,0.5098431532792765,0.2,2,10,0.056680947980693314,0.5098431532792765,0.6,6,10,0.3126695474501863,0.8318224187964902,0.6,6,10,0.3126695474501863,0.8318224187964902,0.4,4,10,0.16817758120350962,0.6873304525498136
numeric,0.01,,31,10,0.2,2,10,0.056680947980693314,0.5098431532792765,0.3,3,10,0.10778928748621183,0.6032267800204347,0.4,4,10,0.16817758120350962,0.6873304525498136,0.4,4,10,0.16817758120350962,0.6873304525498136,0.2,2,10,0.056680947980693314,0.5098431532792765
numeric,0.01,,4,12,0.25,3,12,0.08894003962896138,0.53231033912066,0.4166666666666667,5,12,0.19325746190524654,0.6804926643446272,0.75,9,12,0.46768966087934005,0.9110599603710386,0.75,9,12,0.46768966087934005,0.9110599603710386,0.5,6,12,0.2537781703934222,0.7462218296065778
numeric,0.01,,all,32,0.21875,7,32,0.11023696931531857,0.3875533079044484,0.3125,10,32,0.17952352116618736,0.4856699969803239,0.59375,19,32,0.4225972657298823,0.744805975196862,0.59375,19,32,0.4225972657298823,0.744805975196862,0.375,12,32,0.2293366846595921,0.5474589941047487
