prompt_id,layer,ctx,kv_head,k_kind,rel,bit_class,abs_delta_k,ek_bin,n_queries,max_es_u0,max_es_future,max_es_lifetime,future_amplified,gain_u0,gain_p50,n_es_nonfinite,fail_s_L1,fail_s_L2,fail_s_L16,fail_s_Lfull
seq_0069,4,256,5,bitflip,,exponent,9.238134570705165e+37,"[10,inf)",16,1.1801603981619176e+37,2.0668755280035029e+37,2.0668755280035029e+37,True,0.12774877754046762,0.10979489799883725,0,True,True,True,True
seq_0069,4,256,5,bitflip,,mantissa,0.001953125,"[0.001,0.01)",16,0.0002493858337402344,0.0004372596740722656,0.0004372596740722656,True,0.127685546809625,0.10986328119375,0,True,True,True,True
seq_0070,18,64,1,numeric,1e-06,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0070,18,64,1,numeric,1e-05,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0070,18,64,1,numeric,0.0001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0070,18,64,1,numeric,0.001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0070,18,64,1,numeric,0.01,,0.01171875,"[0.01,0.1)",16,0.0015454292297363281,0.0021038055419921875,0.0021038055419921875,True,0.1318766275929132,0.06766764322339236,0,True,True,True,True
seq_0070,18,64,1,numeric,0.1,,0.1015625,"[0.1,1)",16,0.013395309448242188,0.018234729766845703,0.018234729766845703,True,0.13189227764293213,0.06767390324452598,0,True,True,True,True
seq_0070,18,64,1,bitflip,,sign,2.0,"[1,10)",16,0.26378393173217773,0.3494105339050293,0.3494105339050293,True,0.13189196586602292,0.0628385543822928,0,True,True,True,True
seq_0070,18,64,1,bitflip,,exponent,,nonfinite,16,,0.0,,False,,,16,True,True,True,True
seq_0070,18,64,1,bitflip,,mantissa,0.0078125,"[0.001,0.01)",16,0.0010304450988769531,0.0009546279907226562,0.0010304450988769531,False,0.13189697263936717,0.06140136717964062,0,True,True,True,True
seq_0070,18,256,1,numeric,1e-06,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0070,18,256,1,numeric,1e-05,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0070,18,256,1,numeric,0.0001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0070,18,256,1,numeric,0.001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0070,18,256,1,numeric,0.01,,0.03125,"[0.01,0.1)",16,0.0063018798828125,0.015535354614257812,0.015535354614257812,True,0.20166015624354688,0.27343749999125,0,True,True,True,True
seq_0070,18,256,1,numeric,0.1,,0.328125,"[0.1,1)",16,0.0661611557006836,0.16313934326171875,0.16313934326171875,True,0.20163399832527837,0.27345203217922615,0,True,True,True,True
seq_0070,18,256,1,bitflip,,sign,6.71875,"[1,10)",16,1.3547420501708984,3.340458869934082,3.340458869934082,True,0.20163602607191766,0.27345148130900726,0,True,True,True,True
seq_0070,18,256,1,bitflip,,exponent,3.359375,"[1,10)",16,0.6773710250854492,1.6702280044555664,1.6702280044555664,True,0.20163602607188766,0.27345141033785464,0,True,True,True,True
seq_0070,18,256,1,bitflip,,mantissa,0.015625,"[0.01,0.1)",16,0.00315093994140625,0.0077667236328125,0.0077667236328125,True,0.20166015623709377,0.2734374999825,0,True,True,True,True
seq_0071,31,64,1,numeric,1e-06,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0071,31,64,1,numeric,1e-05,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0071,31,64,1,numeric,0.0001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0071,31,64,1,numeric,0.001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0071,31,64,1,numeric,0.01,,0.0078125,"[0.001,0.01)",16,0.00017642974853515625,0.0008845329284667969,0.0008845329284667969,True,0.022583007809609375,0.06872558592870312,0,True,True,True,True
seq_0071,31,64,1,numeric,0.1,,0.09375,"[0.01,0.1)",16,0.0021200180053710938,0.010617256164550781,0.010617256164550781,True,0.022613525390383787,0.06870524088468381,0,True,True,True,True
seq_0071,31,64,1,bitflip,,sign,1.90625,"[1,10)",16,0.043109893798828125,0.21587753295898438,0.21587753295898438,True,0.022615026255111085,0.06870807585165453,0,True,True,True,True
seq_0071,31,64,1,bitflip,,exponent,3.2433163097151947e+38,"[10,inf)",16,7.334755673281759e+36,2.8331192295222783e+37,2.8331192295222783e+37,True,0.022614987170109985,0.054206914589053294,4,True,True,True,True
seq_0071,31,64,1,bitflip,,mantissa,0.00390625,"[0.001,0.01)",16,8.869171142578125e-05,0.0004425048828125,0.0004425048828125,True,0.022705078119187497,0.06860351560743749,0,True,True,True,True
seq_0071,31,256,1,numeric,1e-06,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0071,31,256,1,numeric,1e-05,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0071,31,256,1,numeric,0.0001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0071,31,256,1,numeric,0.001,,0.0,"[0,1e-07)",16,0.0,0.0,0.0,False,0.0,0.0,0,False,False,False,False
seq_0071,31,256,1,numeric,0.01,,0.015625,"[0.01,0.1)",16,0.0007119178771972656,0.001758575439453125,0.001758575439453125,True,0.045562744137708985,0.05041503905927344,0,True,True,True,True
seq_0071,31,256,1,numeric,0.1,,0.140625,"[0.1,1)",16,0.006409168243408203,0.015633583068847656,0.015633583068847656,True,0.04557630750835646,0.05040825737811376,0,True,True,True,True
