kv_head,layer,n_trials,fail_s_L1,fail_s_L1_k,fail_s_L1_n,fail_s_L1_ci95_low,fail_s_L1_ci95_high,fail_s_L2,fail_s_L2_k,fail_s_L2_n,fail_s_L2_ci95_low,fail_s_L2_ci95_high,fail_s_L16,fail_s_L16_k,fail_s_L16_n,fail_s_L16_ci95_low,fail_s_L16_ci95_high,fail_s_Lfull,fail_s_Lfull_k,fail_s_Lfull_n,fail_s_Lfull_ci95_low,fail_s_Lfull_ci95_high,future_amplified,future_amplified_k,future_amplified_n,future_amplified_ci95_low,future_amplified_ci95_high,max_es_future_p50,max_es_future_p90,gain_p50,n_es_nonfinite
0,31,756,0.5529100529100529,418,756,0.5172891117723531,0.5879959897540702,0.5542328042328042,419,756,0.5186152594642449,0.5893019696003391,0.5542328042328042,419,756,0.5186152594642449,0.5893019696003391,0.5542328042328042,419,756,0.5186152594642449,0.5893019696003391,0.49206349206349204,372,756,0.4565560323911833,0.5276512023798532,0.0002498626708984375,0.6483688354492188,0.06801757812325875,430
1,18,756,0.5462962962962963,413,756,0.5106621455317689,0.5814623183038515,0.5462962962962963,413,756,0.5106621455317689,0.5814623183038515,0.5476190476190477,414,756,0.5119870364892329,0.5827695548845482,0.5476190476190477,414,756,0.5119870364892329,0.5827695548845482,0.4603174603174603,348,756,0.4250776224633166,0.49595855139186584,0.00010919570922851562,0.6361546516418457,0.070068359339125,447
1,31,756,0.5423280423280423,410,756,0.5066889765061203,0.5775391047150183,0.5462962962962963,413,756,0.5106621455317689,0.5814623183038515,0.548941798941799,415,756,0.5133121783960333,0.5840765405159083,0.548941798941799,415,756,0.5133121783960333,0.5840765405159083,0.48148148148148145,364,756,0.44604733500613714,0.5171028794596146,0.00010967254638671875,0.9389538764953613,0.03676932198593479,365
4,4,756,0.5502645502645502,416,756,0.5146375714453821,0.5853832750047201,0.5502645502645502,416,756,0.5146375714453821,0.5853832750047201,0.5515873015873016,417,756,0.5159632158360431,0.5866897581522198,0.5515873015873016,417,756,0.5159632158360431,0.5866897581522198,0.47619047619047616,360,756,0.4407989381027124,0.511822766210397,8.970499038696289e-05,0.6496198177337646,0.09529113768311523,504
5,4,756,0.5502645502645502,416,756,0.5146375714453821,0.5853832750047201,0.5502645502645502,416,756,0.5146375714453821,0.5853832750047201,0.5529100529100529,418,756,0.5172891117723531,0.5879959897540702,0.5529100529100529,418,756,0.5172891117723531,0.5879959897540702,0.48148148148148145,364,756,0.44604733500613714,0.5171028794596146,0.0001671314239501953,0.5868999361991882,0.0507812499935,405
7,18,756,0.5436507936507936,411,756,0.5080131157196369,0.5788470930396622,0.5515873015873016,417,756,0.5159632158360431,0.5866897581522198,0.5542328042328042,419,756,0.5186152594642449,0.5893019696003391,0.5542328042328042,419,756,0.5186152594642449,0.5893019696003391,0.5079365079365079,384,756,0.47234879762014687,0.5434439676088167,8.344650268554688e-05,0.8519454002380371,0.060760498031320304,431
