bit_class,n_trials,fail_s_L1,fail_s_L1_k,fail_s_L1_n,fail_s_L1_ci95_low,fail_s_L1_ci95_high,fail_s_L2,fail_s_L2_k,fail_s_L2_n,fail_s_L2_ci95_low,fail_s_L2_ci95_high,fail_s_L16,fail_s_L16_k,fail_s_L16_n,fail_s_L16_ci95_low,fail_s_L16_ci95_high,fail_s_Lfull,fail_s_Lfull_k,fail_s_Lfull_n,fail_s_Lfull_ci95_low,fail_s_Lfull_ci95_high,future_amplified,future_amplified_k,future_amplified_n,future_amplified_ci95_low,future_amplified_ci95_high,max_es_future_p50,max_es_future_p90,gain_p50,n_es_nonfinite
exponent,504,1.0,504,504,0.9924354365613216,1.0,1.0,504,504,0.9924354365613216,1.0,1.0,504,504,0.9924354365613216,1.0,1.0,504,504,0.9924354365613216,1.0,0.5873015873015873,296,504,0.5438168598683563,0.629465517943938,4.220283928340025e+36,2.8553320174599576e+37,0.09322208270691988,2582
mantissa,504,0.9583333333333334,483,504,0.9371439974118609,0.9725884861026839,0.9682539682539683,488,504,0.9490571848807707,0.9803664779306256,0.9801587301587301,494,504,0.9638653632818068,0.9891877146858115,0.9801587301587301,494,504,0.9638653632818068,0.9891877146858115,0.9384920634920635,473,504,0.9140169734979645,0.9563331514228769,0.00084686279296875,0.0040130615234375,0.11328124953600001,0
sign,504,1.0,504,504,0.9924354365613216,1.0,1.0,504,504,0.9924354365613216,1.0,1.0,504,504,0.9924354365613216,1.0,1.0,504,504,0.9924354365613216,1.0,0.9424603174603174,475,504,0.9185847755932623,0.9596418210463198,0.30016660690307617,1.3852109909057617,0.11255694450208427,0
